code,title,description,credits,institution,department,prerequisites,has_lab,course_type
BIOS 4990,Research in Biology,Independent research project,3,University of New Orleans,Biological Sciences,BIOS 3010,false,research
BIOS 4991,Advanced Research,Continued independent research,4,University of New Orleans,Biological Sciences,BIOS 4990,false,research
BIOL 141,General Biology I,Introduction to biological principles with lab,4,Delgado Community College,Biology,,true,lecture_lab
BIOL 142,General Biology II,Continuation of biological principles with lab,4,Delgado Community College,Biology,BIOL 141,false,lecture
BIOL 143,General Biology I Lab,Laboratory component for General Biology I,1,Delgado Community College,Biology,,false,lecture
BIOL 144,General Biology II Lab,Laboratory component for General Biology II,1,Delgado Community College,Biology,BIOL 143,false,lecture
BIOL 114,Environmental Biology,Environmental science and ecological principles,3,Delgado Community College,Biology,,false,lecture
BIOL 210,Anatomy and Physiology I,Human anatomy and physiology with lab,4,Delgado Community College,Biology,BIOL 141,false,lecture
BIOL 211,Anatomy and Physiology II,Continuation of human anatomy and physiology,4,Delgado Community College,Biology,BIOL 210,false,lecture
BIOL 252,Microbiology,Principles of microbiology with lab,4,Delgado Community College,Biology,BIOL 142,false,lecture
BIOL 265,Genetics,Principles of heredity and genetic analysis,3,Delgado Community College,Biology,BIOL 142,false,lecture
BIOL 266,Genetics Lab,Laboratory component for genetics,1,Delgado Community College,Biology,,false,lecture
MATH 130,College Algebra,Fundamental algebraic concepts and applications,3,Delgado Community College,Mathematics,,false,lecture
MATH 131,Trigonometry,Trigonometric functions and applications,3,Delgado Community College,Mathematics,MATH 130,false,lecture
MATH 203,Calculus I,"Limits, derivatives, and applications",4,Delgado Community College,Mathematics,MATH 131,false,lecture
MATH 221,Calculus II,Integration techniques and applications,4,Delgado Community College,Mathematics,MATH 203,false,lecture
MATH 1125,College Algebra,Algebraic functions and applications,3,University of New Orleans,Mathematics,,false,lecture
MATH 1126,Trigonometry,Trigonometric functions and identities,3,University of New Orleans,Mathematics,MATH 1125,false,lecture
MATH 2114,Calculus II,Integration and infinite series,4,University of New Orleans,Mathematics,MATH 2113,false,lecture
MATH 2314,Calculus III,Multivariable calculus,4,University of New Orleans,Mathematics,MATH 2114,false,lecture
MATH 2785,Differential Equations,Ordinary differential equations,3,University of New Orleans,Mathematics,MATH 2114,false,lecture
CHEM 141,General Chemistry I,Introduction to chemical principles with lab,4,Delgado Community College,Chemistry,MATH 130,false,lecture
CHEM 142,General Chemistry II,Continuation of chemical principles with lab,4,Delgado Community College,Chemistry,CHEM 141,false,lecture
CHEM 144,General Chemistry II Lab,Laboratory component for General Chemistry II,1,Delgado Community College,Chemistry,,false,lecture
CHEM 221,Organic Chemistry I,Introduction to organic chemistry with lab,4,Delgado Community College,Chemistry,CHEM 142,false,lecture
CHEM 223,Organic Chemistry II,Continuation of organic chemistry with lab,4,Delgado Community College,Chemistry,CHEM 221,false,lecture
PHYS 141,General Physics I,Introduction to physics with lab,4,Delgado Community College,Physics,MATH 203,false,lecture
PHYS 142,General Physics II,Continuation of physics with lab,4,Delgado Community College,Physics,PHYS 141,false,lecture
PHYS 221,Physics for Scientists I,Calculus-based physics with lab,4,Delgado Community College,Physics,MATH 203,false,lecture
PHYS 222,Physics for Scientists II,Continuation of calculus-based physics,4,Delgado Community College,Physics,PHYS 221,false,lecture
CHEM 1008,General Chemistry II Lab,Laboratory for general chemistry II,1,University of New Orleans,Chemistry,,false,lecture
CHEM 1017,General Chemistry I,Introduction to chemical principles,4,University of New Orleans,Chemistry,,false,lecture
CHEM 1018,General Chemistry II,Continuation of chemical principles,4,University of New Orleans,Chemistry,CHEM 1017,false,lecture
CHEM 2017,Organic Chemistry I,Introduction to organic chemistry,4,University of New Orleans,Chemistry,CHEM 1018,false,lecture
CHEM 2217,Organic Chemistry II,Continuation of organic chemistry,4,University of New Orleans,Chemistry,CHEM 2017,false,lecture
PHYS 1031,General Physics I,Introduction to physics,4,University of New Orleans,Physics,MATH 1126,false,lecture
PHYS 1032,General Physics II,Continuation of general physics,4,University of New Orleans,Physics,PHYS 1031,false,lecture
PHYS 1061,Physics for Scientists I,Calculus-based physics,4,University of New Orleans,Physics,MATH 2113,false,lecture
PHYS 1062,Physics for Scientists II,Continuation of calculus-based physics,4,University of New Orleans,Physics,PHYS 1061,false,lecture
CMST 130,FUNDAMENTALS OF COMMUNICATION,,3,University of New Orleans,,,false,lecture
CMST 230,PUBLIC SPEAKING,,3,University of New Orleans,,,false,lecture
ENGL 2031,SURVEY OF AMERICAN LITERATURE BEFORE THE CIVIL WAR,,3,University of New Orleans,,,false,lecture
ENGL 2032,SURVEY OF AMERICAN LITERATURE AFTER THE CIVIL WAR,,3,University of New Orleans,,,false,lecture
1000NE,No Equivalent,,3,University of New Orleans,,,false,lecture
ENGL 211,AMERICAN LITERATURE TO 1865,,3,Delgado Community College,,,false,lecture
ENGL 212,AMERICAN LITERATURE AFTER 1865,,3,Delgado Community College,,,false,lecture
ENGL 2208,Reading Drama,,3,University of New Orleans,,,false,lecture
ENGL 222,BRITISH LITERATURE TO 1798,,3,Delgado Community College,,,false,lecture
1000NE,No Equivalent,,3,Delgado Community College,,,false,lecture
ENGL 2238,Reading Drama,,3,University of New Orleans,,,false,lecture
HUMS 1119, Some humanities class,,3,University of New Orleans,,,false,lecture
